Application,QProto Name,NetMon Old Name,NetMon New Short Name,NetMon New Long Name,Syslog Field,SIEM MPE Tag,SIEM Mapped Field (6.3 Name),SIEM Long Name 6.3,Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GPP_LI,t_pdu_directionQ_PROTO_3GPP_LI,t_pdu_direction,TPDUDirection,T PDU Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3GPP_LI,versionQ_PROTO_3GPP_LI,version,Version,Version,version,<version>,Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,client_versionQ_PROTO_ADC,client_version,ClientVersion,Client Version,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,command_codeQ_PROTO_ADC,command_code,CommandCode,Command Code,command,<command>,Command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,command_typeQ_PROTO_ADC,command_type,CommandType,Command Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,file_chunk_data_offsetQ_PROTO_ADC,file_chunk_data_offset,FileChunkDataOffset,File Chunk Data Offset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,file_chunk_lenQ_PROTO_ADC,file_chunk_len,FileChunkLen,File Chunk Length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,file_hashQ_PROTO_ADC,file_hash,FileHash,File Hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,filenameQ_PROTO_ADC,filename,Filename,Filename,objectname,<objectname>,Object Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,filesizeQ_PROTO_ADC,filesize,FileSize,File Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,peer_hashQ_PROTO_ADC,peer_hash,PeerHash,Peer Hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,peer_idQ_PROTO_ADC,peer_id,PeerID,Peer ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADC,queryQ_PROTO_ADC,query,Query,Query,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE_UPDATE,actionQ_PROTO_ADOBE_UPDATE,action,Action,Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE_UPDATE,component_list_descQ_PROTO_ADOBE_UPDATE,component_list_desc,ComponentListDesc,Component List Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
